銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
4372,グ,ユミルリンク,1370,1189,13%割安,+
4373,プ,シンプレクス-HD,972,879,10%割安,+
4374,グ,ROBOT PAYMENT,1352,2302,76%割高,-
4375,グ,セーフィー,172,739,341%割高,-
4376,グ,くふうカンパニーHD,158,150,5%割安,+
4377,グ,ワンキャリア,2314,1828,21%割安,+
4378,グ,CINC,310,453,51%割高,-
4379,グ,Photosynth,188,459,154%割高,-
4380,グ,Mマート,1563,1183,24%割安,+
4382,ス,HEROZ,352,808,131%割高,-
4224,ス,ロンシール工業,3589,1961,45%割安,+
4228,プ,積水化成品工業,325,452,39%割高,-
4229,グ,栄光化学工業,6706,5160,23%割安,+
4231,ス,タイガースポリマー,2288,987,57%割安,+
4234,ス,サンエー化研,1066,728,32%割安,+
4235,ス,ウルトラファブリクス-HD,880,665,21%割安,+
4237,ス,フジプレアム,264,357,35%割高,-
4238,ス,ミライアル,2198,1298,41%割安,+
4240,ス,クラスター・テクノロジー,407,406,0.3%割安,+
4241,ス,アテクト,311,769,147%割高,-
4242,ス,タカギセイコー,5234,1830,65%割安,+
4243,ス,ニックス,1741,853,51%割安,+
4245,ス,ダイキアクシス,554,696,26%割高,-
4246,プ,ダイキョーニシカワ,1367,852,38%割安,+
4247,ス,ポバール興業,1927,1283,33%割安,+
4248,ス,竹本容器,1153,878,23%割安,+
4249,プ,森六,4163,2431,42%割安,+
4251,プ,恵和,2561,1197,53%割安,+
4255,グ,THECOO,452,1070,137%割高,-
4256,グ,サインド,627,1070,71%割高,-
4258,グ,網屋,1527,2915,91%割高,-
4259,グ,エクサウィザーズ,,717,,-
4260,グ,ハイブリッドテクノロジーズ,194,270,47%割高,-
4261,グ,アジアクエスト,4058,3760,6%割安,+
4262,グ,ニフティライフスタイル,1815,1406,22%割安,+
4263,グ,サスメド,,916,,-
4264,グ,セキュア,592,1664,186%割高,-
4265,グ,Institution for a Global Society,,275,,-
4270,グ,BeeX,2892,1915,34%割安,+
4272,プ,日本化薬,1990,1727.5,13%割安,+
4274,ス,細谷火工,987,1240,26%割高,-
4275,プ,カーリット,2121,2740,29%割高,-
4284,ス,ソルクシーズ,682,465,31%割安,+
4286,ス,CLHD,1192,1161,1%割安,+
4287,ス,ジャストプランニング,661,479,28%割安,+
4288,ス,アスジェント,146,700,378%割高,-
4290,プ,プレステージ・インターナショナル,883,665,24%割安,+
4293,ス,セプテーニ-HD,355,421,19%割高,-
4299,ス,ハイマックス,1880,1188,37%割安,+
4301,プ,アミューズ,2843,1963,31%割安,+
4151,プ,協和キリン,2444,2362,3%割安,+
4165,グ,プレイド,186,529,191%割高,-
4166,グ,かっこ,,690,,-
4167,グ,ヨコベリ,70,295,328%割高,-
4168,グ,ヤプリ,379,707,90%割高,-
4169,グ,ENECHANGE,125,307,150%割高,-
4170,グ,Kaizen Platform,160,162,5%割高,-
4171,ス,グローバルインフォメーション,995,1290,30%割高,-
4172,ス,Hiクラテス,2674,2389,11%割安,+
4174,ス,アビリッツ,487,622,28%割高,-
4175,グ,coly,,1923,,-
4176,グ,ここナラ,137,268,103%割高,-
4177,グ,i-plug,609,1480,147%割高,-
4178,グ,Sharing Innovations,443,536,31%割高,-
4180,プ,Appier Group,393,886,125%割高,-
4182,プ,三菱ガス化学,3995,4400,10%割高,-
4183,プ,三井化学,2616,1895,28%割安,+
4186,プ,東京応化工業,5309,9086,71%割高,-
4187,プ,大阪有機化学工業,3821,4680,22%割高,-
4188,ス,三菱ケミカルG,1645,911.7,43%割安,+
4189,グ,KHネオケム,3240,2750,15%割安,+
4192,グ,スパイダープラス,69,315,345%割高,-
4193,ス,ファブリカHD,2502,2222,11%割安,+
4194,プ,ビジョナル,10274,7388,28%割安,+
4196,ス,ネオマーケティング,381,1635,295%割高,-
4197,ス,アスマーク,1613,2376,53%割高,-
4198,ス,テンダ,462,552,22%割高,-
4199,グ,ワンダープラネット,247,849,240%割高,-
4202,プ,ダイセル,1890,1232,35%割安,+
4203,プ,住友ベークライト,4928,5500,12%割高,-
4204,プ,積水化学工業,3114,2368.5,24%割安,+
4205,プ,日本ゼオン,2135,1825,15%割安,+
4206,プ,アイカ工業,5293,3514,34%割安,+
4208,プ,UBE,3965,2366.5,40%割安,+
4212,プ,積水樹脂,3162,2095,34%割安,+
4216,プ,旭有機材,4585,5730,25%割高,-
4218,プ,ニチバン,2050,1817,11%割安,+
4220,プ,リケンテクノス,2652,1660,37%割安,+
4221,プ,大倉工業,6283,4965,21%割安,+
4222,ス,児玉化学工業,688,1118,63%割高,-
4498,グ,サイバートラスト,1426,1173,15%割安,+
4499,ス,Speee,,2462,,-
4499,ス,武田薬品工業,4400,5270,20%割高,-
4502,プ,アステラス製薬,1595,2232,40%割高,-
4503,プ,住友ファーマ,754,1719.5,128%割高,-
4506,プ,塩野義製薬,3820,3170,17%割安,+
4507,ス,わかもと製薬,217,349,61%割高,-
4512,プ,日本新薬,6600,4790,27%割安,+
4516,プ,中外製薬,8587,8116,5%割安,+
4519,プ,科研製薬,4365,4080,7%割安,+
4521,プ,エーサイ,3645,4687,29%割高,-
4523,ス,エーサイ,3645,4687,29%割高,-
4524,ス,森下仁丹,2987,2234,25%割安,+
4526,プ,理研ビタミン,3162,2769,12%割安,+
4527,プ,ロート製薬,2541,2300.5,9%割安,+
4528,ス,小野薬品工業,2141,2306,8%割高,-
4531,ス,有機合成薬品工業,498,346,30%割安,+
4534,プ,持田製薬,3969,3365,15%割安,+
4536,ス,参天製薬,1462,1616,11%割高,-
4538,プ,扶桑薬品工業,3875,2219,43%割安,+
4539,ス,日本ケミファ,,1684,,-
4540,プ,ツムラ,6837,3651,47%割安,+
4543,プ,テルモ,1649,1997,21%割高,-
4544,プ,H.U.GHD,2183,3111,43%割高,-
4547,プ,キッセイ薬品工業,4813,4375,9%割安,+
4548,プ,生化学工業,936,702,25%割安,+
4549,プ,栄研化学,1560,3080,99%割高,-
4552,プ,JCRファーマ,305,546,79%割高,-
4553,プ,東和薬品,4432,3960,11%割安,+
4554,プ,富士製薬工業,1731,2192,27%割高,-
4558,ス,中京医薬品,211,199,6%割安,+
4559,プ,ゼリア新薬工業,3336,2159,35%割安,+
4564,グ,オンコセラピー・サイエンス,,24,,-
4565,プ,ネクセラファーマ,714,971,36%割高,-
4568,プ,第一三共,2691,2588.5,4%割安,+
4569,プ,杏林製薬,2207,1551,30%割安,+
4570,グ,免疫生物研究所,215,1334,519%割高,-
4571,グ,NANOHD,,138,,-
4574,プ,大幸薬品,181,292,61%割高,-
4576,プ,デ・ウエスタン・セラピテクス研究所,,90,,-
4577,プ,ダイト,1734,1261,27%割安,+
4434,ス,サーバーワークス,1483,2028,37%割高,-
4436,グ,ミンカジ・インフォノイド,40,415,968%割高,-
4437,グ,gooddaysHD,1676,1080,28%割安,+
4438,グ,Welby,,307,,-
4439,ス,東名,1484,737,49%割安,+
4440,ス,ヴィッツ,1255,1176,6%割安,+
4441,ス,トビラシステムズ,854,1352,59%割高,-
4442,グ,バルテス-HD,489,410,16%割安,+
4443,プ,Sansan,209,1255,512%割高,-
4444,グ,インフォネット,736,827,16%割高,-
4445,グ,リビン・テクノロジーズ,2278,3480,53%割高,-
4446,グ,Link-UG,237,708,200%割高,-
4447,グ,ビービーシステムズ,444,465,7%割高,-
4448,グ,kubell,67,273,316%割高,-
4449,プ,ギフティ,576,1142,102%割高,-
4450,グ,パワーソリューションズ,1697,2366,44%割高,-
4452,プ,花王,3896,5834,50%割高,-
4461,プ,第一工業製薬,9384,8380,11%割安,+
4462,プ,石原ケミカル,2973,2676,10%割安,+
4463,ス,日華化学,2689,1838,32%割安,+
4465,ス,ニイカ,3449,2271,34%割安,+
4471,プ,三洋化成工業,5876,4990,15%割安,+
4475,グ,HENNGE,973,955,2%割安,+
4476,グ,AI CROSS,1609,1180,24%割安,+
4477,グ,BASE,158,286,82%割高,-
4478,グ,フリー,393,2266,481%割高,-
4479,グ,マクアケ,483,865,80%割高,-
4480,プ,メドレー,827,2252,174%割高,-
4481,プ,ベース,4154,3210,23%割安,+
4482,グ,ウイルズ,950,739,22%割安,+
4483,プ,JMDC,2861,3320,19%割高,-
4484,グ,ランサーズ,106,281,172%割高,-
4486,グ,ユナイトアンドグロウ,1231,641,48%割安,+
4487,グ,スペース・マーケット,100,280,186%割高,-
4488,グ,AI inside,1264,2676,112%割高,-
4491,ス,コンピューターマネージメント,3309,3030,6%割安,+
4492,ス,ゼネテック,467,460,0.2%割安,+
4493,グ,サイバーセキュリティクラウド,1782,1567,11%割安,+
4495,グ,アイキューブドシステムズ,2501,1951,21%割安,+
4496,グ,コマースOneHD,860,737,14%割安,+
4385,プ,メルカリ,911,3774,316%割高,-
4386,ス,SIG G,977,840,13%割安,+
4387,グ,ZUU,888,533,39%割安,+
4388,ス,エーアイ,402,391,3%割安,+
4389,グ,プロパティデータバンク,945,784,17%割安,+
4390,プ,アイ・ビー・エス,5187,3210,38%割安,+
4391,グ,ロジザード,1199,1103,9%割安,+
4392,プ,FIG,304,344,13%割高,-
4393,グ,バンク・オブ・イノベーション,2827,5060,79%割高,-
4394,グ,エクスモーション,908,860,5%割安,+
4395,グ,アクリート,615,1160,89%割高,-
4396,グ,システムサポートHD,2112,1070,49%割安,+
4397,グ,チームスピリット,169,394,164%割高,-
4398,ス,ブロードバンドセキュリティ,1411,1230,12%割安,+
4401,プ,ADEKA,5120,3928,23%割安,+
4403,プ,日油,3011,3210,7%割高,-
4404,ス,ミヨシ油脂,4007,2139,47%割安,+
4406,ス,新日本理化,127,190,59%割高,-
4409,ス,東邦化学工業,845,746,12%割安,+
4410,プ,ハリマ化成G,1316,885,33%割安,+
4412,グ,サイエンスアーツ,202,1605,716%割高,-
4413,プ,ポードルア,1685,1980,17%割高,-
4414,グ,フレクト,1965,1104,44%割安,+
4415,グ,ブロードエンタープライズ,1164,1258,9%割高,-
4416,グ,True Data,269,442,67%割高,-
4417,グ,グローバルセキュリティエキスパート,2371,2497,5%割高,-
4418,グ,JDSC,301,845,188%割高,-
4419,グ,FinatextHD,253,1117,355%割高,-
4420,ス,イーソル,375,515,37%割高,-
4421,ス,ディ・アイ・システム,1406,917,35%割安,+
4422,グ,VALUENEX,103,1056,943%割高,-
4424,グ,Amazia,,251,,-
4425,グ,Kudan,,2579,,-
4427,グ,EduLab,179,276,55%割高,-
4428,グ,シノプス,744,694,7%割安,+
4429,グ,リックソフト,789,820,4%割高,-
4430,ス,東海ソフト,2897,1825,37%割安,+
4431,グ,スマレジ,1910,2390,25%割高,-
4432,プ,ウイングアークlat,3148,2663,15%割安,+
4433,プ,ヒト・コミュニケーションズ-HD,1297,865,33%割安,+
4760,ス,アルファ,1998,1625,19%割安,+
4761,ス,さくらケーシーエス,1760,1299,26%割安,+
4762,ス,エックスネット,1306,1525,17%割高,-
4763,プ,クリーク・アンド・リバー社,2222,1331,40%割安,+
4765,プ,SBIグローバルアセットマネジメント,367,596,62%割高,-
4766,ス,ピーエイ,110,223,103%割高,-
4767,ス,テー・オー・ダブリュー,534,373,30%割安,+
4768,プ,大塚商会,2843,2898.5,2%割高,-
4769,ス,IC,1120,1035,8%割安,+
4771,ス,エアアンドエム,2809,2082,26%割安,+
4772,グ,SM ENTERTAINMENT,69,90,33%割高,-
4776,プ,サイボウズ,3119,2078,33%割安,+
4777,ス,ガーラ,,195,,-
4783,ス,NCD,2980,2459,17%割安,+
4784,グ,GMOインターネット,97,570,490%割高,-
4792,プ,山田コンサルティングG,2565,1631,36%割安,+
4800,ス,オリコン,1437,1155,20%割安,+
4801,ス,セントラルスポーツ,2771,2351,15%割安,+
4809,プ,パラカ,2870,2017,29%割安,+
4811,グ,ドリーム・アーツ,685,807,18%割高,-
4812,プ,電通総研,1584,2199,39%割高,-
4813,プ,ACCESS,210,527,151%割高,-
4814,ス,ネクストウェア,52,183,250%割高,-
4816,ス,東映アニメーション,1888,2615,39%割高,-
4820,プ,デジタルガレージ,1991,2459,24%割高,-
4825,プ,EMシステムズ,577,661,15%割高,-
4825,プ,ウェザーニューズ,1511,2035,35%割高,-
4826,プ,CIJ,494,496,0.3%割高,-
4828,プ,ビジネスエンジニアリング,1463,1203,18%割安,+
4829,ス,日本エンタープライズ,119,112,6%割安,+
4832,ス,JFEシステムズ,1920,1891,2%割安,+
4833,グ,Def consulting,,63,,-
4838,ス,スペースシャワーSKIYAKI,647,715,10%割高,-
4839,プ,WOWOW,1677,1186,29%割安,+
4845,ス,スカラ,318,348,10%割高,-
4847,プ,インテリジェントウェイブ,1007,976,3%割安,+
4848,プ,フルキャストHD,2223,1623,27%割安,+
4869,プ,エン,1350,1096,19%割安,+
4880,ス,セルソース,273,367,35%割高,-
4666,プ,パーク24,2023,1828,9%割安,+
4667,ス,アイサンテクノロジー,1842,1683,9%割安,+
4668,グ,明光ネットワークジャパン,734,685,7%割安,+
4671,ス,ファルコHD,2905,2515,13%割安,+
4673,ス,川崎地質,6991,5600,20%割安,+
4674,プ,クレスコ,2116,1363,34%割安,+
4676,プ,フジ・メディア・HD,4995,3857,23%割安,+
4678,ス,秀英予備校,690,321,53%割安,+
4680,プ,ラウンドワン,768,855,13%割高,-
4681,プ,リゾートトラスト,1332,1747,31%割高,-
4684,プ,オービック,3407,4161,22%割高,-
4685,プ,菱友システムズ,5003,3050,39%割安,+
4686,プ,ジャストシステム,3854,3695,4%割安,+
4687,プ,TDCソフト,1497,948,37%割安,+
4689,プ,LINEヤフー,592,412.3,30%割安,+
4691,ス,ワシントンホテル,1086,2030,87%割高,-
4704,プ,トレンドマイクロ,1546,5476,258%割高,-
4705,ス,クリップコーポレーション,917,797,13%割安,+
4707,ス,キタック,586,323,45%割安,+
4709,ス,IDホールディングス,1319,1005,24%割安,+
4712,ス,KeyHolder,1490,810,40%割安,+
4714,プ,リソー教育G,161,194,20%割高,-
4716,ス,日本オラクル,8572,8644,1%割高,-
4718,グ,早稲田アカデミー,2563,1936,24%割安,+
4719,ス,アルファシステムズ,4475,3310,26%割安,+
4722,プ,フューチャー,2377,1529,36%割安,+
4725,プ,CAC Holdings,2611,1791,31%割安,+
4728,ス,トーセ,737,637,14%割安,+
4732,プ,ユー・エス・エス,1576,1695,8%割高,-
4733,プ,オービックビジネスコンサルタント,5139,6125,19%割高,-
4735,ス,京進,526,325,38%割安,+
4736,ス,日本ラッド,609,559,8%割安,+
4743,プ,アイティフォー,2066,1722,17%割安,+
4746,ス,東計電算,4582,4320,6%割安,+
4750,ス,ダイサン,901,561,38%割安,+
4751,グ,サイバーエージェント,667,1248.5,88%割高,-
4752,ス,昭和システムエンジニアリング,2238,1565,30%割安,+
4754,ス,トスネット,2430,1480,39%割安,+
4755,プ,楽天G,725,759.2,6%割高,-
4578,プ,大塚HD,7515,11400,52%割高,-
4579,グ,ラクオリア創薬,235,781,232%割高,-
4583,グ,カイオム・バイオサイエンス,,100,,-
4584,グ,キッズウェル・バイオ,52,221,322%割高,-
4587,プ,ペプチドリーム,501,1151,130%割高,-
4588,グ,オンコリスバイオファーマ,,2820,,-
4593,グ,ヘリオス,,315,,-
4595,ス,ミズホメディー,1950,1772,9%割安,+
4596,グ,窪田製薬HD,,92,,-
4597,グ,ソレイジア・ファーマ,,33,,-
4611,プ,大日本塗料,2538,1232,51%割安,+
4612,プ,日本ペイントHD,1122,989.3,13%割安,+
4613,プ,関西ペイント,2817,2342.5,17%割安,+
4615,ス,神東塗料,84,128,52%割高,-
4616,ス,川上塗料,3254,1850,43%割安,+
4617,プ,中国塗料,3214,3175,1%割安,+
4619,ス,日本特殊塗料,2966,2045,31%割安,+
4620,ス,藤倉化成,1374,1215,12%割安,+
4623,ス,アサヒペン,3640,1710,53%割安,+
4624,ス,イサム塗料,7757,3725,52%割安,+
4625,ス,アトミクス,1602,748,53%割安,+
4627,ス,ナトコ,2807,1596,43%割安,+
4628,ス,エスケー化研,13359,10510,21%割安,+
4629,ス,大伸化学,3168,2002,37%割安,+
4631,プ,DIC,4930,3594,27%割安,+
4633,プ,サカタインクス,4013,2334,42%割安,+
4634,プ,artience,6041,3910,35%割安,+
4635,ス,東京インキ,2643,1319,50%割安,+
4641,プ,アルプス技研,3368,2527,25%割安,+
4642,ス,オリジナル設計,1707,1499,12%割安,+
4644,ス,イマジニア,1084,1016,6%割安,+
4645,ス,市進HD,672,421,37%割安,+
4650,ス,SDエンターテインメント,,265,,-
4651,ス,サニックスHD,222,231,4%割高,-
4657,ス,環境管理センター,531,476,10%割安,+
4658,プ,日本空調サービス,1559,1557,1%割安,+
4661,プ,オリエンタルランド,1164,2188.5,88%割高,-
4662,プ,フォーカスシステムズ,1930,1512,22%割安,+
4664,ス,アール・エス・シー,1024,873,15%割安,+
4665,プ,ダスキン,3609,3947,9%割高,-
5079,ス,ノバック,3297,2622,20%割安,+
5101,プ,横浜ゴム,11129,6297,43%割安,+
5103,ス,昭和HD,,43,,-
5105,プ,TOYO TIRE,5493,3821,30%割安,+
5108,プ,ブリヂストン,4227,3265,23%割安,+
5110,プ,住友ゴム工業,3114,2019.5,35%割安,+
5121,プ,藤倉コンポジット,3174,2512,21%割安,+
5122,プ,オカモト,5655,5620,1%割安,+
5125,グ,ファインズ,812,614,24%割安,+
5126,プ,ポーターズ,1660,1530,4%割安,+
5129,グ,FIXER,,390,,-
5131,グ,リンカーズ,,133,,-
5132,グ,pluszero,1338,2146,68%割高,-
5133,ス,テリロジーHD,205,327,59%割高,-
5134,グ,POPER,251,493,107%割高,-
